도메인,길이,확장자,키워드,연관 비즈니스,예상 가치($),검색량,브랜딩 잠재력,메모
btobkorea.com,10,.com,btob,korea,B2B / Marketing,2600,1000/mo,Medium,"한국 대상 B2B 플랫폼, 브랜드명 직관적"
daicos.co.kr,9,.co.kr,daicos,Crypto / ICO,2000,600/mo,Medium,"ICO 서비스, 한국 내 블록체인 프로젝트용"
daicos.kr,7,.kr,daicos,Crypto / ICO,1900,600/mo,Medium,"짧고 기억 쉬운 국가확장 도메인"
odaico.com,7,.com,odaico,Crypto / ICO,2200,500/mo,Medium,"'오픈 다이코' 느낌, ICO 브랜드에 적합"
godaico.com,8,.com,godaico,Crypto / ICO,2100,500/mo,Medium,"'Go Daico', 긍정적 액션 느낌의 ICO 브랜드"
mothle.com,7,.com,mothle,Games / Puzzle,3000,900/mo,Medium,"Wordle류 게임 이름으로 적합, 발음 쉬움"
mothle.net,7,.net,mothle,Games / Puzzle,2800,900/mo,Medium,"보완용 기술 도메인"
benjiku.com,8,.com,benjiku,Brand / Personal,1600,300/mo,Low,"개인 브랜드 또는 닉네임 기반 프로젝트에 사용 가능"
bixubei.com,8,.com,bixubei,BioTech / Brand,1700,300/mo,Low,"발음 유니크한 생명공학/뷰티 브랜드에 적합"
bixubei.net,8,.net,bixubei,BioTech / Brand,1500,300/mo,Low,"보완용 기술 버전"
zigjob.com,7,.com,zig,job,HR / Platform,2500,1000/mo,Medium,"구인/구직 관련 서비스 플랫폼으로 적합"
zigjob.net,7,.net,zig,job,HR / Platform,2300,1000/mo,Medium,"보완용 기술 도메인"
becoiner.com,9,.com,becoiner,Crypto / Blog,2000,800/mo,Medium,"코인 관련 개인 브랜드 또는 블로그에 적합"
becoiner.net,9,.net,becoiner,Crypto / Blog,1800,800/mo,Medium,"보완용 기술 도메인"
untacter.com,9,.com,untacter,Health / Post-COVID,2700,1000/mo,Medium,"비대면 시대 연관 브랜드, 건강/테크 서비스 가능"
untacter.net,9,.net,untacter,Health / Post-COVID,2500,1000/mo,Medium,"위의 보완 기술 도메인"
untactor.com,9,.com,untactor,Health / Post-COVID,2600,1000/mo,Medium,"비슷한 의미로 대체어 느낌, 보완 도메인"
untactor.net,9,.net,untactor,Health / Post-COVID,2400,1000/mo,Medium,"보완 기술 도메인"
